source	target
VPS72	CYTH2
VPS72	EIF2B2
VPS72	LMAN2L
VPS72	PPIE
VPS72	SNRPA
DGUOK	CIB1
SPR	AVEN
SPR	L3HYPDH
WDTC1	RQCD1
PSCA	TEX101
PSCA	AP3B2
PSCA	GRIA1
PSCA	WISP1
COX5B	NDUFA6
COX5B	COX7A2
NDUFA6	EIF3K
NDUFA6	MKKS
NDUFA6	NDUFA8
PAN2	AMT
PAN2	ORAOV1
PAN2	PRDM15
NRGN	HIST2H2BE
NRGN	GP1BA
NRGN	EHD3
PLCD1	ERGIC2
MTIF2	FOXC2
MTIF2	TRIP4
MTIF2	XPA
MTIF2	DACT3
MTIF2	FBXO38
MTIF2	USP3
NDUFA2	MRPL41
NDUFA2	RNF181
NDUFA2	COX5B
NDUFA2	MGMT
NDUFA2	EMC6
NDUFA2	ABT1
NDUFA2	ERH
NDUFA2	TUSC2
PTPRCAP	CARD11
PTPRCAP	BLK
PTPRCAP	USH1G
ZBED5	POC5
ZBED5	ASNS
ZBED5	ATAD2B
ZBED5	MALT1
HCK	IL1B
HCK	SLC46A2
HCK	BASP1
HCK	HCLS1
HCK	P2RX1
HCK	SMAP2
HCK	VDR
DHRS1	HRCT1
RGS19	LCP2
RGS19	LAT2
SLC35D2	OR4C15
SLC35D2	TBC1D1
AURKA	FAM178B
AURKA	FMO4
AURKA	TAS2R13
AURKA	CHEK1
AURKA	RASGEF1B
AURKA	SPATA21
AURKA	TRIP13
CCL4	CD69
CCL4	CENPK
CCL4	TENC1
CCL4	CEP78
CCL4	DOCK10
CCL4	KLRF1
CCL4	SAMSN1
CCL4	TSC1
IFI6	MX1
IFI6	IFIT3
IFI6	IFI27
IFI6	IFI35
NDUFB7	MRPL53
NDUFB7	MRPL24
NDUFB7	MRPL54
NDUFB7	NDUFA7
NDUFB7	DPM3
NDUFB7	PHPT1
NDUFB7	LSMD1
NDUFB7	COX6B1
NDUFB7	TIMM10
NDUFB7	MRPS34
NDUFB7	HINT2
NDUFB7	AK1
NDUFB7	ANAPC11
NDUFB7	ATP5J2
NDUFB7	C17orf89
NDUFB7	DUSP23
NDUFB7	NDUFA11
NDUFB7	RNASEH2C
NDUFB7	ROMO1
NDUFB7	UQCRQ
FKBP2	PRPF19
FKBP2	HNRNPUL2
FKBP2	BAX
FKBP2	ARPC1B
FKBP2	TMEM141
